,district,data_street,rooms,area,price_eur,period,cur_floor,total_floor,lift,seria,house_type,facilities,len,lon,wifi
153,Торнякалнс,Виенибас Г. 82,1,19.0,315,30,4,4,0,Рекон.,Кирпичный,Парковочное место,56.918842603622565,24.08880144513427,0
154,центр,Чака 72,2,40.0,540,30,3,4,1,Рекон.,Каменный,,56.9558906,24.1361685,0
155,Кенгарагс,Маскавас 297,1,34.0,220,30,11,12,1,Чеш. пр.,Кирпичный,,56.9192483,24.1745923,0
156,р-н ул.Краста,Салацас 26,1,21.3,320,30,1,2,0,Рекон.,Деревянный,,56.9269842,24.1710809,0
157,Тейка,Пудикя 13,2,44.0,430,30,2,2,0,Дов. дом,Каменный,,56.9766517,24.1814115,0
158,центр,Катринас Д. 21,1,35.0,300,30,3,5,0,Хрущ.,Панельно-кирпичный,,56.9712688,24.1017021,0
159,Межциемс,Кайвас 50,2,40.0,450,30,1,5,1,Нов.,Панельный,,56.9558931,24.2451677,0
160,центр,Стрелниеку 7,3,86.0,1550,30,5,6,1,Нов.,Панельный,,56.95983525187032,24.107673168182377,0
161,Тейка,Бривибас гатве 314,3,76.0,550,30,4,4,0,Дов. дом,Кирпичный,Парковочное место,56.9791045,24.1868619,0
162,центр,Антонияс 16a,3,94.0,1600,30,5,7,1,Нов.,Панельный,Балкон,56.9596316,24.1133828,0
163,центр,Антонияс 17a,3,90.0,1750,30,5,6,1,Нов.,Панельный,Терраса,56.9599881,24.111923,0
164,Шампетерис-Плескодале,Засулаука 28,3,41.0,450,30,2,2,0,Нов.,Каменный,Парковочное место,56.9445608,24.0386523,0
165,Пурвциемс,Мадонас 21,2,63.0,250,30,5,16,0,Спец. пр.,Панельный,"Лоджия, Парковочное место",56.9610482,24.1709057,0
166,центр,Чака 117/1,2,44.0,410,30,2,6,1,Рекон.,Каменный,,56.9591716,24.1410583,0
167,Плявниеки,Улброкас 22,2,49.0,380,30,9,9,0,602-я,Панельный,,56.9440774,24.2177225,0
168,центр,Миера 93,1,34.0,490,30,5,7,0,Нов.,Панельно-кирпичный,,56.9733104,24.1415619,0
169,Плявниеки,Ясмуйжас 13,1,34.0,340,30,5,9,1,467-я,Панельный,Парковочное место,56.9366755,24.2128226,0
170,центр,Таллинас 35 c,2,50.0,450,30,3,5,0,Дов. дом,Каменный,,56.962917,24.1388603,0
171,центр,Томсона 30,2,81.0,750,30,9,9,1,Нов.,Панельно-кирпичный,,56.9662268,24.128132,0
172,Кенгарагс,Маскавас 313,1,34.0,320,30,1,12,0,Чеш. пр.,Кирпичный,"Лоджия, Парковочное место",56.9093668,24.1827559,0
173,Пурвциемс,Пурвциема 15,1,13.0,180,30,1,9,0,103-я,Панельный,,56.9535763,24.1683412,0
174,Золитуде,Лиедес 28,2,45.0,500,30,2,4,1,Нов.,Панельно-кирпичный,"Терраса, Парковочное место",56.942819,24.0203865,0
175,р-он ул. Маскавас,Католю 29,2,42.0,470,30,3,6,1,Рекон.,Каменный,,56.943149,24.1362659,0
176,Пурвциемс,Браслас 27,2,42.0,350,30,3,6,1,Нов.,Кирпично-панельный,Парковочное место,56.96267,24.1665231,0
177,Иманта,Курземес пр. 88,2,60.0,350,30,8,9,1,602-я,Панельный,Балкон,56.9682167,24.0160007,0
178,центр,Базницас 34,2,40.0,440,30,2,5,1,Дов. дом,Каменный,,56.95945536100349,24.124530056114367,0
179,Пурвциемс,Кегума 45,2,42.0,420,30,2,5,0,М. сем.,Панельный,Лоджия,56.963417989715964,24.196904897689823,0
180,Мангали,Морес 3,2,47.0,200,30,3,5,0,Хрущ.,Панельный,"Балкон, Парковочное место",57.018818,24.135045,0
